Number,Country,Site,Latitude,Longitude,n,reduction,lithology,pH_0-5,pH_5-15,pH_15-30,cec_0-5,cec_5-15,cec_15-30,Elevation,SO2_1990,NOX_1990,PM10_1990,SOMO35_1990,O3_1990,MAXO3_1990
1,Czech Republic,KH,50.3970285,12.7945259,21,1,phyllite,4.6,4.8,4.8,393,199,176,980,34.77922,4.6282,26.02728,4055.61841,33.92253,45.34326
2,Czech Republic,KH,50.3883908,13.00366,21,1,amphibolite,4.7,4.8,4.8,418,221,198,1030,36.41182,5.29746,28.56128,3862.64868,32.70156,44.41552
3,Czech Republic,KH,50.5347674,13.2230808,21,0,gneiss,5.1,5.3,5.3,342,180,165,830,34.0589,5.19088,27.27497,3808.14233,33.0401,44.62872
4,Czech Republic,KH,50.69747093,13.5705516,22,1,granite,5.1,5.3,5.2,384,230,216,710,58.13424,7.46576,31.19178,3647.65454,31.36555,43.49564
5,Czech Republic,KRK,50.62878,15.87939,21,1,clastic sedimentary rock,5,5,5.3,238,159,132,710,22.20629,3.24467,25.00035,4160.81055,35.45807,45.56724
6,Czech Republic,KRK,50.726689,15.62114,17,0,clastic sedimentary rock,5.1,5.2,5.4,256,192,170,880,19.74596,2.65906,20.93155,4243.29492,36.60339,46.44044
7,Czech Republic,KRK,50.76396,15.45061,20,0,gneiss,5,4.9,5.1,256,183,159,900,24.5917,3.42603,24.40943,4185.53174,35.7319,45.70702
8,Czech Republic,Czech Republic,48.6667,14.7,100,0,granite,5.1,5.1,5.2,302,210,182,785,10.10985,1.8172,17.56011,4877.78271,38.67416,49.40963
9,Czech Republic,KRK,50.75,15.66,143,1,granite,5.4,5.4,5.5,287,226,227,1350,19.74596,2.65906,20.93155,4243.29492,36.60339,46.44044
10,Czech Republic,KRK,50.73,15.67,43,1,gneiss,5.5,5.5,5.6,301,221,195,1270,19.74596,2.65906,20.93155,4243.29492,36.60339,46.44044
11,Czech Republic,KRK,50.72,15.7,28,1,gneiss,5.2,5.3,5.4,348,261,212,1270,19.74596,2.65906,20.93155,4243.29492,36.60339,46.44044
12,Czech Republic,Czech Republic,48.87,13.79,36,0,granite,4.6,4.8,4.8,390,260,228,950,11.96626,2.49439,17.7918,5028.88818,38.56531,49.40343
13,Czech Republic,Czech Republic,50.079523,17.214055,44,0,gneiss,5.2,5.3,5.4,271,191,187,1300,16.91806,2.15026,19.8383,4369.14404,37.65137,46.98343
14,Czech Republic,Czech Republic,50.850325,14.358207,38,0,sandstone,5,5,5.4,275,162,135,200,31.29819,4.88649,30.09953,4003.35132,31.33683,44.27385
15,Czech Republic,Czech Republic,50.203864,16.845659,41,1,amphibolite,5.2,5.2,5.3,288,212,187,1300,17.81521,2.4037,21.54959,4280.42529,36.57305,46.27542
16,Czech Republic,Czech Republic,49.203583,13.112284,40,1,"mica schist, gneiss",5,5.2,5.2,483,299,255,1200,17.36469,2.45895,20.33104,5044.06201,38.04599,49.21121
17,Czech Republic,Czech Republic,49.79232,15.7547,42,0,amphibolite,5.1,5.2,5.4,268,173,157,580,20.79962,4.09486,31.16605,3999.68994,33.49607,45.44096
18,Czech Republic,Czech Republic,50.043017,13.297917,41,0,slate,5.4,5.6,5.9,258,177,163,460,23.91075,4.44995,29.24718,4027.81738,32.65207,45.75763
19,Czech Republic,Czech Republic,49.136701,13.502261,40,0,quartzite,4.9,5.2,5.2,380,221,207,650,13.0554,1.87901,17.88155,5010.18164,39.14845,49.66294
20,Czech Republic,KRK,50.756345,15.644769,44,0,granite,5.2,5.3,5.4,268,242,213,1320,19.74596,2.65906,20.93155,4243.29492,36.60339,46.44044
21,Czech Republic,Czech Republic,50.889617,14.2598,35,1,sandstone,5,5,5.4,268,158,140,470,33.56454,5.60601,31.22086,3913.77417,30.50351,43.65966
22,Slovakia,Slovakia,48.9,19.6,99,0,migmatite,5.3,5.3,5.3,318,239,228,1450,11.66939,2.18342,20.5292,4584.14893,36.90044,47.94178
23,Slovakia,Slovakia,49.15,20.01,16,0,monzogranite,5,5,5,425,289,257,1550,9.99499,1.11543,16.46444,5401.23877,42.95301,51.43436
24,Slovakia,Slovakia,48.8,19.6,22,0,mica schist,5.9,5.9,6,282,181,159,800,12.18126,1.72438,23.40503,4665.01904,36.94545,48.60038
25,Slovakia,Slovakia,48.934338,19.605071,43,0,tonalite,4.8,4.8,4.9,348,217,203,1450,11.30091,1.54593,19.22448,4477.48145,37.70448,47.87082
26,Slovakia,Slovakia,48.9533,20.42888,42,1,sandstone,5.2,5.1,5.2,269,200,180,540,10.65041,1.73798,22.74512,4413.65381,35.8379,47.67191
