Number,Country,Longitude,Latitude,Year,TDEP_NHX,TDEP_NOY,TDEP_SOX,RWI,TRW
1,Germany,12.38,49.2,1950,885.219,388.37,1859.19,0.541477153,0.705462491
1,Germany,12.38,49.2,1951,916.029,454.056,2276.96,0.513960778,0.624885859
1,Germany,12.38,49.2,1952,846.164,396.116,1920.71,0.540021583,0.700735642
1,Germany,12.38,49.2,1953,934.819,438.857,2158.98,0.45754961,0.599797751
1,Germany,12.38,49.2,1954,867.358,434.147,2130.67,0.657549434,0.852987562
1,Germany,12.38,49.2,1955,967.098,472.714,2362.43,0.932260105,1.238688562
1,Germany,12.38,49.2,1956,957.046,502.631,2448.77,1.113613554,1.493397249
1,Germany,12.38,49.2,1957,1016.51,564.116,2943.41,1.255927695,1.718665893
1,Germany,12.38,49.2,1958,966.633,544.147,2831.45,1.408843992,1.966596911
1,Germany,12.38,49.2,1959,1004.05,592.301,3053.25,1.345283122,1.822973104
1,Germany,12.38,49.2,1960,1021.81,571.889,2851.34,0.820463093,1.036085666
1,Germany,12.38,49.2,1961,1017.76,601.404,3131.51,0.999746463,1.179789986
1,Germany,12.38,49.2,1962,1107.74,673.175,3495.97,0.797606069,0.929487671
1,Germany,12.38,49.2,1963,1123.51,640.387,3209.13,0.963475611,1.1569298
1,Germany,12.38,49.2,1964,1052.33,606.019,2918.2,0.644561414,0.788289993
1,Germany,12.38,49.2,1965,1055.23,640.33,3115.88,0.814936541,0.992877416
1,Germany,12.38,49.2,1966,1171.99,688.195,3415.35,0.984317711,1.138896397
1,Germany,12.38,49.2,1967,1216.7,802.933,3988.53,0.818360183,0.934068273
1,Germany,12.38,49.2,1968,1129.35,713.981,3515.3,0.822973046,0.898015374
1,Germany,12.38,49.2,1969,1203.87,782.431,4064.46,1.007907735,1.275227858
1,Germany,12.38,49.2,1970,1253.73,803.559,4078.29,1.073168161,1.375366368
1,Germany,12.38,49.2,1971,1258.3,831.528,4247.91,1.090848796,1.346560757
1,Germany,12.38,49.2,1972,1218.76,831.383,3882.89,1.333028078,1.695384471
1,Germany,12.38,49.2,1973,1336.64,845.558,4087.33,1.167705659,1.481866865
1,Germany,12.38,49.2,1974,1249.03,933.356,3874.34,1.189852021,1.532687687
1,Germany,12.38,49.2,1975,1303.97,872.284,3752.05,1.204784115,1.501417356
1,Germany,12.38,49.2,1976,1314.73,881.223,3514.85,0.672307377,0.809773144
1,Germany,12.38,49.2,1977,1399.47,1006.67,4120.31,0.932271792,1.067255634
1,Germany,12.38,49.2,1978,1363.46,915.494,3683.48,1.172859185,1.381187754
1,Germany,12.38,49.2,1979,1471.67,1043.46,4220.35,0.819053034,0.961490518
1,Germany,12.38,49.2,1980,1474.11,1062.15,4138.16,1.053441329,1.119401228
1,Germany,12.38,49.2,1981,1421.44,1060.64,4033.9,0.807258347,0.919692172
1,Germany,12.38,49.2,1982,1316.4,944.865,3433.95,0.637542271,0.708657171
1,Germany,12.38,49.2,1983,1449.87,1066.22,3606.28,0.949900434,1.131257458
1,Germany,12.38,49.2,1984,1395.38,998.981,3500.33,0.832849736,0.960874874
1,Germany,12.38,49.2,1985,1406.62,997.388,3528.72,1.214716752,1.435778127
1,Germany,12.38,49.2,1986,1270.44,856.087,2709.98,1.29363963,1.60981884
1,Germany,12.38,49.2,1987,1296.43,943.097,2982.97,1.493093047,1.9050299
1,Germany,12.38,49.2,1988,1348.56,1013.35,3224.75,1.319328046,1.513679019
1,Germany,12.38,49.2,1989,1295.94,921.723,2827.51,1.673041516,1.904315402
1,Germany,12.38,49.2,1990,1296.99,902.872,2608.21,1.070256509,1.230587805
1,Germany,12.38,49.2,1991,1286.92,864.716,2237.08,0.941708483,0.948456558
1,Germany,12.38,49.2,1992,1326.79,934.647,2378.17,0.480631221,0.571467331
1,Germany,12.38,49.2,1993,1268.8,831.426,2070.36,0.79630697,0.889493109
1,Germany,12.38,49.2,1994,1254.78,826.201,1960.68,0.804048672,0.832084262
1,Germany,12.38,49.2,1995,1227.23,834.61,1963.12,1.092465839,1.199478625
1,Germany,12.38,49.2,1996,1233.51,807.721,1916.93,1.332592848,1.578469057
1,Germany,12.38,49.2,1997,1130.86,733.107,1639.29,1.817028883,2.126601135
1,Germany,12.38,49.2,1998,1129.41,727.952,1508.12,0.862917823,0.980062537
1,Germany,12.38,49.2,1999,1152.65,792.27,1625.48,1.55552817,1.735572415
1,Germany,12.38,49.2,2000,1098.82,715.93,1319.31,0.812477224,0.937201
1,Germany,12.38,49.2,2001,1145.26,771.486,1215.43,1.062513138,1.152943643
2,Germany,12.65,49.18,1950,846.018,317.553,1684.42,0.563337165,1.160319473
2,Germany,12.65,49.18,1951,908.462,375.302,2221.68,0.81374969,1.687942995
2,Germany,12.65,49.18,1952,859.327,349.194,2012.75,0.553719063,1.167305384
2,Germany,12.65,49.18,1953,894.692,358.484,1961.91,0.720825706,1.476188601
2,Germany,12.65,49.18,1954,836.262,366.309,2000.28,0.78406281,1.569088459
2,Germany,12.65,49.18,1955,927.062,385.877,2144.98,1.078726516,2.109167765
2,Germany,12.65,49.18,1956,959.53,441.995,2484.35,1.191208878,2.332880259
2,Germany,12.65,49.18,1957,1007.97,466.015,2874.31,1.120431323,2.266603533
2,Germany,12.65,49.18,1958,951.261,441.007,2662.93,1.075971197,2.152264552
2,Germany,12.65,49.18,1959,999.845,495.109,2791,1.1677368,2.344196987
2,Germany,12.65,49.18,1960,1025.53,501.983,2888,0.748305996,1.52158478
2,Germany,12.65,49.18,1961,1002.08,487.297,2941.95,0.889625461,1.765699959
2,Germany,12.65,49.18,1962,1113,559.59,3283.55,0.708520081,1.432883466
2,Germany,12.65,49.18,1963,1123.87,569.571,3139.94,0.692416297,1.340818382
2,Germany,12.65,49.18,1964,1064.49,530.138,3071.03,0.541308919,1.048970063
2,Germany,12.65,49.18,1965,1017.13,535.973,2885.22,0.816650041,1.556040425
2,Germany,12.65,49.18,1966,1128.63,561.379,3071.39,1.185876334,2.26770415
2,Germany,12.65,49.18,1967,1206.27,669.478,3851.66,1.195148445,2.32674654
2,Germany,12.65,49.18,1968,1138.68,611.535,3376.51,1.132904103,2.298053216
2,Germany,12.65,49.18,1969,1203.68,658.771,3654.62,1.159708023,2.35885518
2,Germany,12.65,49.18,1970,1201.46,662.454,3846.64,1.131424944,2.238840221
2,Germany,12.65,49.18,1971,1240.08,686.733,3900.47,1.017802391,1.932769532
2,Germany,12.65,49.18,1972,1192.61,680.533,3653.42,0.977748138,1.975646175
2,Germany,12.65,49.18,1973,1266.57,672.347,3613.86,0.99567204,1.903020339
2,Germany,12.65,49.18,1974,1280.14,834.742,3770.87,1.104800863,2.125932067
2,Germany,12.65,49.18,1975,1270.31,742.405,3606.3,1.037177781,2.043027501
2,Germany,12.65,49.18,1976,1227.78,728.097,3335.06,0.583868079,1.209514238
2,Germany,12.65,49.18,1977,1432.44,883.731,4121.56,1.076633885,2.166089011
2,Germany,12.65,49.18,1978,1421.63,817.439,3689.14,1.225974306,2.368506413
2,Germany,12.65,49.18,1979,1455.4,915.29,4113.4,1.048090294,2.041071153
2,Germany,12.65,49.18,1980,1399.37,875.855,3726.75,1.054765327,2.014993402
2,Germany,12.65,49.18,1981,1405.28,900.141,3820.61,0.987971197,1.933169822
2,Germany,12.65,49.18,1982,1268.78,794.851,3181.46,0.767117871,1.53938601
