Call,Filepath,Year,Lat,Lon
"DE01<-read.rwl(""Germany/germ057.rwl"")",Germany/germ057.rwl,2001,49.2,12.38
"DE02<-read.rwl(""Germany/germ058.rwl"")",Germany/germ058.rwl,2001,49.18,12.65
"DE03<-read.rwl(""Germany/germ059.rwl"")",Germany/germ059.rwl,2001,48.92,12.62
"DE04<-read.rwl(""Germany/germ159.rwl"")",Germany/germ159.rwl,2009,51.15,8.9833
"DE05<-read.rwl(""Germany/germ189.rwl"")",Germany/germ189.rwl,2005,50.7167,8.1
"DE06<-read.rwl(""Germany/germ192.rwl"")",Germany/germ192.rwl,2005,50.85,8.2167
"DE07<-read.rwl(""Germany/germ208.rwl"")",Germany/germ208.rwl,2005,51.1833,8.4333
"DE08<-read.rwl(""Germany/germ227.rwl"")",Germany/germ227.rwl,2011,51.0756,8.04
"DE09<-read.rwl(""Germany/germ230.rwl"")",Germany/germ230.rwl,2009,50.22194,8.4472
"DE10<-read.rwl(""Germany/germ233.rwl"")",Germany/germ233.rwl,2009,50.05,8.01
"DE11<-read.rwl(""Germany/germ234.rwl"")",Germany/germ234.rwl,2012,50.04925,8.0083
"DE12<-read.rwl(""Germany/germ236.rwl"")",Germany/germ236.rwl,2009,50.0553,7.5103
"DE13<-read.rwl(""Germany/germ237.rwl"")",Germany/germ237.rwl,2010,50.0553,7.5103
"DE14<-read.rwl(""Germany/germ238.rwl"")",Germany/germ238.rwl,2011,49.34444,8.11555
"DE15<-read.rwl(""Germany/germ241.rwl"")",Germany/germ241.rwl,2010,50.4393,7.7555
"DE16<-read.rwl(""Germany/germ242.rwl"")",Germany/germ242.rwl,2010,50.68778,7.94889
"DE17<-read.rwl(""Germany/germ243.rwl"")",Germany/germ243.rwl,2010,50.4393,7.75555
"DE18<-read.rwl(""Germany/germ244.rwl"")",Germany/germ244.rwl,2010,50.81,7.97416
"DE19<-read.rwl(""Germany/germ245.rwl"")",Germany/germ245.rwl,2012,50.69063,8.159
"DE20<-read.rwl(""Germany/germ246.rwl"")",Germany/germ246.rwl,2012,50.70145,8.2329
"SW01<-read.rwl(""Switzerland/swit368.rwl"")",Switzerland/swit368.rwl,2016,47.22852,8.92916
"SW02<-read.rwl(""Switzerland/swit369.rwl"")",Switzerland/swit369.rwl,2016,47.28673,8.95479
"SW03<-read.rwl(""Switzerland/swit370.rwl"")",Switzerland/swit370.rwl,2016,47.25386,8.93852
"SW04<-read.rwl(""Switzerland/swit371.rwl"")",Switzerland/swit371.rwl,2016,47.16697,8.72347
"SW05<-read.rwl(""Switzerland/swit372.rwl"")",Switzerland/swit372.rwl,2015,47.04095,8.737
"SW06<-read.rwl(""Switzerland/swit373.rwl"")",Switzerland/swit373.rwl,2015,46.92306,9.16675
"SW07<-read.rwl(""Switzerland/swit374.rwl"")",Switzerland/swit374.rwl,2015,47.05598,8.76291
"SW08<-read.rwl(""Switzerland/swit375.rwl"")",Switzerland/swit375.rwl,2016,47.00433,9.10381
"SW09<-read.rwl(""Switzerland/swit376.rwl"")",Switzerland/swit376.rwl,2014,47.0316,9.0611
"SW10<-read.rwl(""Switzerland/swit377.rwl"")",Switzerland/swit377.rwl,2016,47.06697,8.82121
"SW11<-read.rwl(""Switzerland/swit378.rwl"")",Switzerland/swit378.rwl,2016,47.00137,9.09612
"SW12<-read.rwl(""Switzerland/swit379.rwl"")",Switzerland/swit379.rwl,2015,46.93025,9.21343
"SW13<-read.rwl(""Switzerland/swit380.rwl"")",Switzerland/swit380.rwl,2016,47.2525,9.04131
"SW14<-read.rwl(""Switzerland/swit381.rwl"")",Switzerland/swit381.rwl,2014,47.24067,8.56923
"SW15<-read.rwl(""Switzerland/swit382.rwl"")",Switzerland/swit382.rwl,2015,46.89649,8.9425
"SW16<-read.rwl(""Switzerland/swit383.rwl"")",Switzerland/swit383.rwl,2017,47.2699,8.524
"SW17<-read.rwl(""Switzerland/swit390.rwl"")",Switzerland/swit390.rwl,2011,47.180832,9.176242
"SW18<-read.rwl(""Switzerland/swit392.rwl"")",Switzerland/swit392.rwl,2011,47.014324,8.739395
